身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
171.2,53.7,3271,8.3,186,18.8,"3'47"""
165,54.9,3684,8.49,197,23.7,"3'49"""
157.1,48.8,2229,8,200,28,"3'30"""
161,60.9,2349,8.78,190,20,"3'42"""
155.5,54.2,2708,9.24,160,23.3,"4'01"""
151,41.1,2714,9.05,178,19.2,"3'49"""
165.3,52.6,2766,8.96,185,17.8,"3'57"""
154.3,64.5,2920,10.06,150,18.5,"4'13"""
167.1,76.2,3270,9.48,148,11.5,"4'19"""
162.5,68.5,3119,10.3,140,20.5,"4'16"""
160.8,47.3,3618,8.19,177,20.2,"3'32"""
163.5,56.4,2523,8.52,183,18.5,"3'44"""
165.1,61.6,2982,9.21,170,21.4,"4'04"""
159.1,46,2901,8.77,175,15.1,"3'57"""
159.3,50.9,2517,8.5,182,18.5,"4'43"""
165.8,77.4,3780,9.16,183,20.3,"4'11"""
158.2,46.1,2782,8.67,185,25,"3'43"""
161.3,56.6,3536,8.53,197,23.4,"3'50"""
161.1,49.7,2340,9.63,165,16.7,"3'51"""
162.3,43.6,2836,9.19,165,8.9,"3'37"""
158,56.3,3598,9.31,178,17.8,"3'54"""
159.5,49.4,2918,8.5,170,14.5,"4'01"""
161.4,49.8,2961,9.13,174,24.8,"3'49"""
165.4,76,3474,8.94,190,22.3,"4'04"""
163.4,62.5,2747,9.31,180,15.5,"3'54"""
160.5,46.7,2492,8.69,156,5.6,"3'29"""
166.3,57.6,3545,8.09,195,26.3,"3'53"""
154.3,54.2,3980,9.48,160,20.2,"3'56"""
162.4,51.6,2243,8.91,160,10.1,"4'08"""
156.3,49.9,3095,9.3,175,34.2,"4'05"""
159.6,39.8,2509,7.9,180,15.2,"4'30"""
159.6,56.8,3566,7.7,195,27,"3'50"""
163.4,40.9,2600,8.5,193,9.7,"3'51"""
167.2,56.7,3055,8.19,210,15.6,"3'48"""
154,48.6,2431,9.36,170,24,"4'05"""
164.4,51.3,3490,8.84,175,29,"3'39"""
157.6,47.9,2874,8.48,160,19.1,"3'45"""
164.8,55.2,3562,8.5,170,22.1,"4'01"""
150.8,48.7,2077,9.39,142,18.4,"3'57"""
161.6,49.7,2680,8.08,180,13.1,"3'44"""
163.3,48,2352,8.91,175,19.3,"4'00"""
157.4,44.6,2626,8.49,164,15.1,"3'33"""
158.9,57.2,2810,9.11,152,17.4,"3'50"""
163.7,49.5,3216,8.4,170,17.2,"3'40"""
167.4,52.6,3170,9.22,182,23.5,"4'01"""
162.6,52.6,2423,8.61,186,15.8,"3'33"""
170.2,55.6,3777,7.97,210,27.6,"3'42"""
170.5,66.7,3477,9.97,155,15.6,"4'15"""
168.8,57.2,3757,8.69,178,12.9,"3'48"""
169.9,70.9,3638,8.28,277,15.9,"3'19"""
160,47.7,3094,8.81,174,23.6,"3'46"""
158.3,57.3,3571,8.25,190,21.3,"3'38"""
160.2,47,2890,8.56,190,24.3,"4'15"""
159.7,53.8,2626,9.22,160,2.6,"3'59"""
162.6,51,3524,8,185,26.1,"3'41"""
161.4,49.4,3414,7.3,210,28,"3'02"""
164.5,57.5,3346,9.91,165,20.7,"4'30"""
158,52.5,2857,9,182,17.4,"3'37"""
159.3,50.5,3127,8.43,188,22.2,"3'33"""
160.3,55.5,2004,8.36,149,9.6,"3'41"""
158.5,47.9,1922,8.75,176,26,"3'59"""
166.1,48,3527,8.73,170,24.1,"3'58"""
172.1,57.3,4299,8.11,208,19.4,"3'19"""
163.9,49.5,3187,8.11,170,20.1,"3'40"""
168.6,69.6,3294,9.11,175,14.6,"4'16"""
161.3,50.8,3497,8.97,176,22.4,"3'57"""
164,46.9,2704,7.91,180,23.6,"3'25"""
154.5,68.6,2278,9.46,162,19.8,"4'28"""
173.8,58.7,3043,8.96,200,21.4,"3'31"""
156.4,44,2248,9.09,155,17,"3'40"""
157,41.7,2123,9.02,175,19.4,"3'43"""
155.3,45.8,2508,8.94,170,15.5,"3'37"""
152.9,46,3518,9.41,165,14.9,"3'47"""
165.7,74.1,2754,9.11,183,25.2,"3'49"""
159.9,48.5,2816,9.3,165,14.8,"3'56"""
155.1,46.7,2928,7.6,210,21.2,"3'24"""
162.5,54.6,3202,8.41,203,17,"3'54"""
158,51.2,2481,9.59,192,16,"4'26"""
166,58.8,2108,8.76,188,16.5,"3'27"""
157.6,51.3,3127,8.43,177,28.1,"3'28"""
170.1,60.9,3052,8.4,186,23.2,"3'34"""
160,55.1,3397,8.17,185,10.7,"3'09"""
147.7,39,2167,9.17,160,16.5,"3'55"""
160,46.9,2982,9.23,178,20,"4'08"""
159.2,58.3,3268,8.69,175,21.3,"3'42"""
157.8,53.8,2968,7.52,191,23.1,"3'47"""
166,55,3301,9.8,175,11,"4'01"""
169,57.5,2427,9.36,165,6,"4'11"""
162,48,2692,9.77,160,9,"4'34"""
176,60,3644,9.51,178,14,"4'22"""
164,55,2817,8.6,165,20,"4'03"""
167,45,2415,10.11,178,10,"4'34"""
163,49,2503,9.9,150,12,"4'43"""
170,51,2588,10.3,158,7,"4'09"""
